,economically_inactive_student_including_full_time_students,objectid,all_categories_economic_activity,economically_active_employee_part_time,economically_active_employee_full_time,economically_active_self_employed,economically_active_unemployed,economically_active_full_time_student,economically_inactive_retired,cartodb_id,economically_inactive_looking_after_home_or_family,economically_inactive_long_term_sick_or_disabled,economically_inactive_other,unemployed_age_16_to_24,unemployed_age_50_to_74,unemployed_never_worked,long_term_unemployed,full_time_,part_time_,unemployed,retired_pc,lng,lat,the_geom,Local Authority Code,Local Authority Name,Region/Country Code,Region/Country Name,Supergroup Code,Supergroup Name,Group Code,Group Name,Subgroup Code,Subgroup Name
E00084935,6,171584,172,15,86,24,5,1,23,171584,4,7,1,0,3,0,2,50.0,8.720930232558139,2.90697674418605,13.3720930232558,-0.798450443,52.06414824,0106000020E61000000100000001030000000100000015000000293E47A056B2E9BF81739DB850094A407C908C119DA3E9BFE1C66C4D0D094A401A684801B79BE9BF1EFB86E002094A40E63107E4A39DE9BFC417468FE7084A4005C869C49089E9BF6A91F44BB9084A40269B6F02FF89E9BF4DFECDE9A0084A40C8B5B543727AE9BF5F667DD291084A400902D263157AE9BFA657F1CE6E084A40BAA9C489BB96E9BF73CBFC6D65084A408E249EE6968DE9BF4516FED54A084A4042358BD9CE85E9BF09832EEA4F084A40C6CA71BAC97CE9BFDA84908B27084A407E8445153280E9BF826473F6FC074A40D69B193139A0E9BFB2BA551625084A4059AC84CCF5B3E9BFAA6DDF889B084A40EAE9F29720C9E9BF79237F44B8084A40B1641D8651E0E9BFCE90384608094A4084ACF05DE3D9E9BF6141E42D57094A40015B00A8D6D9E9BFF3EF432B57094A4065A657B222C2E9BF2B00E53460094A40293E47A056B2E9BF81739DB850094A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00084932,11,171585,229,21,105,20,19,3,25,171585,12,9,4,4,1,7,5,45.8515283842795,9.1703056768559,8.29694323144105,10.917030567685599,-0.789071495,52.06508473,0106000020E6100000010000000103000000010000000C000000A3D7AB26D332E9BF7066EFC26E084A40EF4C4EF09D2EE9BF10A6C58044084A40A6A516EE4239E9BFAFAA743A39084A40FD0C8EC6AE3DE9BF255A352155084A40E8748F4D4E3BE9BF612681C138084A407DFED9B68F4CE9BFB8F24FEF3A084A4041F4C2569A52E9BFDA4DD1FD35084A403F8830DE6A56E9BF65FD750B45084A403D4C7FB8633FE9BF1F3392DB6E084A4060FEF42EF037E9BF1427BE3569084A40E43947D6A63BE9BF826F20D479084A40A3D7AB26D332E9BF7066EFC26E084A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084933,4,171586,197,30,99,16,7,7,14,171586,9,5,6,0,2,0,2,50.253807106599,15.228426395939099,3.55329949238579,7.10659898477157,-0.7936027920000001,52.06423547,0106000020E610000001000000010300000001000000100000003F8830DE6A56E9BF65FD750B45084A4041F4C2569A52E9BFDA4DD1FD35084A407DFED9B68F4CE9BFB8F24FEF3A084A40050E6AC8FC4CE9BFB386D55F25084A40FED05B244855E9BF59990BDB2B084A4059C691AEFF4FE9BFD43A678F0B084A40958EFD34FE61E9BFE9336523FA074A4008461EFF935EE9BF4C44D26231084A4049128F125C62E9BF25C36C893A084A40DB163B598870E9BFA000CC3D28084A402E8D8ADF7174E9BF98F20BF434084A40E4AE8420F265E9BFFFED3B4F48084A40A1EFD9898F66E9BF66E515B75E084A404A224F500E69E9BF3A5D9D2969084A40F47DA42B6B5EE9BF83EAF75069084A403F8830DE6A56E9BF65FD750B45084A40,E06000042,Milton Keynes,E12000008,South East,7,Constrained City Dwellers,7a,Challenged Diversity,7a2,Hampered Aspiration
E00084930,11,171587,244,41,124,12,9,7,24,171587,12,2,2,3,4,3,2,50.8196721311475,16.8032786885246,3.68852459016393,9.83606557377049,-0.764294496,51.99834865,0106000020E6100000010000000103000000010000000A0000004DD0D7AC6D65E8BFD93A31CBE3FF4940D8D5FAC8275CE8BF81BA452BD7FF49403B01DDE7F158E8BFC5C1B8F3C4FF494087C415138260E8BFCAE6CB69C6FF4940C6DEB65D4B73E8BF85D7FEE3C7FF49406E6A1DB99C80E8BFB3FE2115A4FF4940E6293885268AE8BF12E495FABDFF4940C81CF9967C7CE8BF3009D86CE3FF494088B976E82473E8BF4A8FF013CEFF49404DD0D7AC6D65E8BFD93A31CBE3FF4940,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00084931,6,171588,251,38,123,24,5,8,36,171588,6,5,0,0,4,0,1,49.003984063745,15.1394422310757,1.99203187250996,14.3426294820717,-0.75988572,51.99864011,0106000020E6100000010000000103000000010000000A000000D04F8BAC9338E8BF322E0765E4FF49402F519B7F0B46E8BF90D28B97DAFF49409ADE59F5E055E8BF5358D51C9FFF49409FF6847FC65EE8BFDF2FD6FFA3FF494087C415138260E8BFCAE6CB69C6FF49403B01DDE7F158E8BFC5C1B8F3C4FF4940D8D5FAC8275CE8BF81BA452BD7FF494054BE2A9CDE4CE8BFA17E688CFEFF494060701D29CB4CE8BF511F41EA10004A40D04F8BAC9338E8BF322E0765E4FF4940,E06000042,Milton Keynes,E12000008,South East,6,Suburbanites,6b,Semi-Detached Suburbia,6b1,Multi-Ethnic Suburbia
E00084938,11,171593,294,46,116,14,32,5,22,171593,15,16,17,12,5,7,13,39.45578231292521,15.646258503401402,10.884353741496598,7.48299319727891,-0.7810123840000001,52.06659296,0106000020E61000000100000001030000000100000008000000446978B84EDEE8BF5CFFEA4EAB084A40ED4573B5D1DAE8BF54121F479C084A40BC8E7C4478F9E8BFB60A58FE73084A4051376B33A60DE9BF842EE65758084A4004BF3CC86117E9BFD141560482084A40CE440F29AC19E9BFDB00D85F98084A4038C3C63B6DF9E8BF43FEF229A4084A40446978B84EDEE8BF5CFFEA4EAB084A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084939,7,171594,230,27,92,16,19,9,29,171594,16,10,5,2,2,2,9,40.0,11.7391304347826,8.26086956521739,12.6086956521739,-0.7861901729999999,52.06655814,0106000020E61000000100000001030000000100000012000000B813F17B07F6E8BF9FD0467EE2084A4038C3C63B6DF9E8BF43FEF229A4084A40CE440F29AC19E9BFDB00D85F98084A4004BF3CC86117E9BFD141560482084A40B097D54A7A25E9BF56B3F2E75F084A40AE9FB7CE5226E9BFEB4C0D2C7A084A40A3D7AB26D332E9BF7066EFC26E084A40E43947D6A63BE9BF826F20D479084A40635E76938237E9BF897E81758A084A40370491E13F41E9BF87ED63DFAC084A40A6DA80631F35E9BF6E3C76DAC5084A40FC321CC40E3FE9BFB170748FD8084A409FF163FB203AE9BF83357CDD07094A40DF7BBBB25C24E9BF721502A62C094A405358F54C2B21E9BF3B078BEF41094A4049948F2E1214E9BF09705E867A094A40B913AA1B4806E9BFB60028586F094A40B813F17B07F6E8BF9FD0467EE2084A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084845,9,171735,247,44,72,9,30,12,9,171735,32,16,14,10,2,5,17,29.1497975708502,17.8137651821862,12.145748987854303,3.64372469635628,-0.831826118,52.04945159,0106000020E6100000010000000103000000010000000B00000021552B2791A4EABF359A9D137B064A40DC2CA47F769AEABFFC9E3D307B064A40AAEC7DC9E29CEABFD0CCD65F6D064A40445FF30C679AEABF44089E8A79064A4099E9BB4CAE87EABFBB19149C30064A400927B619B998EABF126A4A1D0D064A40DF57DD94C4A6EABF6734EC4632064A40EA61764178A0EABF08D1DFC858064A40A6298CB7A7B3EABF42C4459672064A404871AD482CB0EABF20246DA987064A4021552B2791A4EABF359A9D137B064A40,E06000042,Milton Keynes,E12000008,South East,7,Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship
E00084842,5,171736,200,30,70,25,8,6,51,171736,2,0,3,1,2,0,2,35.0,15.0,4.0,25.5,-0.8419247440000001,52.05047877,0106000020E6100000010000000103000000010000000E000000D52DA154E6C5EABF2CE30597BA064A4038706587A6C0EABF822DA403A0064A40252C919B02DDEABFEA7163816F064A40E8E45BEA00E2EABF60BDCA3C73064A405F69D12BB4DEEABFC30A06A965064A40A7F321076EF1EABF6DA1969E35064A40C987B7A0C8F9EABF4A61BFB83A064A40E2E5DC2D220EEBBF3C91924875064A402A463D21AA07EBBF069C13CD73064A402533DC3977FBEABF3749EA8AA5064A40D47B4986A1EFEABF6BA6F5B697064A403FDEF49885DCEABF6ED15BDFCC064A40A4D936C09DCAEABFA3EAFDFECA064A40D52DA154E6C5EABF2CE30597BA064A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5b,Ageing Urban Living,5b1,Delayed Retirement
E00084843,7,171737,211,26,64,9,34,12,10,171737,23,14,12,10,3,3,19,30.331753554502395,12.3222748815166,16.113744075829402,4.739336492891,-0.828552231,52.05019309,0106000020E61000000100000001030000000100000009000000DD74F256FB78EABF917999718B064A4035909E2F9954EABFBA14A97D72064A40A1FC292EF082EABF15B7A03F39064A4099E9BB4CAE87EABFBB19149C30064A40445FF30C679AEABF44089E8A79064A40AAEC7DC9E29CEABFD0CCD65F6D064A40DC2CA47F769AEABFFC9E3D307B064A402CCA9E55228EEABF6BDF5A33A1064A40DD74F256FB78EABF917999718B064A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084840,11,171738,255,30,90,12,32,12,24,171738,26,6,12,12,3,5,13,35.2941176470588,11.764705882352901,12.549019607843098,9.41176470588235,-0.833247418,52.05146523,0106000020E6100000010000000103000000010000000B0000002CCA9E55228EEABF6BDF5A33A1064A40DC2CA47F769AEABFFC9E3D307B064A4021552B2791A4EABF359A9D137B064A404871AD482CB0EABF20246DA987064A40A6298CB7A7B3EABF42C4459672064A40BFB1FAD4D4BBEABF37A14FF37A064A40EC84109B12B6EABF07D77C0882064A4038706587A6C0EABF822DA403A0064A40D52DA154E6C5EABF2CE30597BA064A404E1819DEF7B4EABF05833871E1064A402CCA9E55228EEABF6BDF5A33A1064A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084841,5,171739,205,25,80,17,6,7,61,171739,0,3,1,1,3,1,1,39.024390243902396,12.1951219512195,2.92682926829268,29.7560975609756,-0.84691077,52.05147627,0106000020E6100000010000000103000000010000000B000000A60F1EFAB217EBBFF453A7E3C1064A405785CB2EC506EBBF69FA0AC09C064A40E797EC6D8211EBBF0593DFC67B064A40E0620E2B7619EBBF6726972E7F064A4086D351512024EBBFE6C1897551064A40557ECA38482BEBBF9311391E5E064A40DDD6AA397627EBBFEEADBDFA6A064A4039DB75C23822EBBF35FAB48485064A40836B28DC412AEBBFFD4F1BA8A8064A40288EAA3D6B20EBBF07ACD73BC5064A40A60F1EFAB217EBBFF453A7E3C1064A40,E06000042,Milton Keynes,E12000008,South East,6,Suburbanites,6b,Semi-Detached Suburbia,6b4,Older Workers and Retirement
E00084846,13,171726,253,43,88,17,28,6,14,171726,27,11,6,11,5,5,13,34.7826086956522,16.99604743083,11.067193675889301,5.5335968379446605,-0.833718057,52.04816159,0106000020E6100000010000000103000000010000000A000000A6298CB7A7B3EABF42C4459672064A40EA61764178A0EABF08D1DFC858064A40DF57DD94C4A6EABF6734EC4632064A400927B619B998EABF126A4A1D0D064A401ACD56F81AA4EABF8F693FBFED054A40507E507097C1EABF54BF8B5827064A40C72EDEC3FAB3EABF2755571353064A4096E58FB90BBFEABF208138B46F064A40BFB1FAD4D4BBEABF37A14FF37A064A40A6298CB7A7B3EABF42C4459672064A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084847,16,171729,251,36,93,26,10,6,47,171729,9,4,4,2,6,2,4,37.0517928286853,14.3426294820717,3.98406374501992,18.7250996015936,-0.84460212,52.05871975,0106000020E61000000100000001030000000100000016000000D7F017E2F7EAEABF8BBE9BA290074A40FF8001F9AFFEEABFAFAF01977E074A40204EE0CAA701EBBF05AD730E6B074A40EE34382993F6EABF185EDC9872074A40D6ADC3207AF3EABFF6A667BC5E074A4099C95F3646FCEABF4C37F3A552074A40B213AFAD3F02EBBFDC5EEFEF48074A403331D018D30AEBBF95F1F66863074A40C6DD62A02D06EBBFDE0226B867074A40C3675B7A3908EBBF50B177D775074A4030AC8A267315EBBFF879BEF275074A401B1E6A14621DEBBFA7DED67986074A409DF3D429E727EBBF9E1A61509B074A4096DF33394024EBBFBCA5BE66B2074A40CE4FD6F3FE30EBBFE249A03EBE074A40FB4F44694A50EBBF9B10FC0CD7074A40E7B728AD147AEBBF7A337984CD074A40AD14465D4293EBBF3A4D3DB2E2074A40A97A5A11057FEBBF4CF5A56A24084A40F18D06FD8B4CEBBF0BC6F7243C084A406CEA57256A11EBBFA4F55A8EEA074A40D7F017E2F7EAEABF8BBE9BA290074A40,E06000042,Milton Keynes,E12000008,South East,6,Suburbanites,6b,Semi-Detached Suburbia,6b1,Multi-Ethnic Suburbia
E00084844,4,171732,237,25,106,20,8,6,57,171732,7,4,0,6,1,2,0,44.7257383966245,10.5485232067511,3.37552742616034,24.0506329113924,-0.849828798,52.05110469,0106000020E6100000010000000103000000010000000D0000004A1FD3F27435EBBFD9811070C0064A40836B28DC412AEBBFFD4F1BA8A8064A4039DB75C23822EBBF35FAB48485064A40DDD6AA397627EBBFEEADBDFA6A064A40011E9D54EE33EBBF0CC8198386064A4018C46705243BEBBF1AD7026683064A40949E3C1D722BEBBF019668114E064A40E0727B620D35EBBF1C05755A47064A403739E2FA9E4CEBBF32DAF38C5F064A402433B7876347EBBFC9B1B4217D064A40FAEA8E314B4AEBBF224D101B94064A402CDE61F90236EBBF6E5117F7CA064A404A1FD3F27435EBBFD9811070C0064A40,E06000042,Milton Keynes,E12000008,South East,6,Suburbanites,6b,Semi-Detached Suburbia,6b2,White Suburban Communities
E00084848,3,171752,197,24,73,16,10,7,43,171752,5,13,3,5,1,1,4,37.055837563451796,12.182741116751302,5.0761421319797,21.827411167512697,-0.850978625,52.05895349,0106000020E6100000010000000103000000010000000D000000CE4FD6F3FE30EBBFE249A03EBE074A4096DF33394024EBBFBCA5BE66B2074A409DF3D429E727EBBF9E1A61509B074A401B1E6A14621DEBBFA7DED67986074A402AFDB3817121EBBF3EE6B3BB77074A40004406AACB26EBBF4265837267074A4038AE7A88DF2CEBBF3D47A75577074A40B7A0FF29AC33EBBF74179DA857074A40256607EF563AEBBFC9DA3AC475074A405A5484373B43EBBFB328825668074A402E2634E0FE52EBBF9BB972679B074A40FB4F44694A50EBBF9B10FC0CD7074A40CE4FD6F3FE30EBBFE249A03EBE074A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00084849,3,171754,215,28,102,21,5,1,30,171754,9,13,3,1,3,1,3,47.4418604651163,13.023255813953499,2.3255813953488396,13.953488372093,-0.849692413,52.05727947,0106000020E6100000010000000103000000010000000E0000002AFDB3817121EBBF3EE6B3BB77074A401DD3692FC618EBBFAD3AD0C061074A40214CC8283025EBBFE05301904F074A40FEA061BB2A37EBBF1334831D2E074A403524FC8CEB3EEBBF81133A7146074A409F01D730D848EBBFD47B426F43074A40DF70D9668A50EBBF722EFB1054074A408BDE0684964BEBBFC0C2988569074A405A5484373B43EBBFB328825668074A40256607EF563AEBBFC9DA3AC475074A40B7A0FF29AC33EBBF74179DA857074A4038AE7A88DF2CEBBF3D47A75577074A40004406AACB26EBBF4265837267074A402AFDB3817121EBBF3EE6B3BB77074A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00175510,6,171773,93,9,51,9,7,1,0,171773,10,0,0,2,3,2,1,54.838709677419395,9.677419354838712,7.526881720430111,0.0,-0.682075894,52.04440255,0106000020E6100000010000000103000000010000000A0000003E6D1363C17FE5BFF96CF462E6054A40B010F9A37188E5BF2A9062E0AC054A402FBE74D4FBCAE5BFA080EDF693054A406FA6DBB174D3E5BF06A57068A6054A40E280071514D7E5BF4A3861828D054A400FF6166199DBE5BFE67B6A9B9A054A40AD8E1C93B7D9E5BF5695306F9F054A40F8BC6C1CEAD2E5BF78276522DB054A400FC1692F6EDAE5BF23DA5FCFF6054A403E6D1363C17FE5BFF96CF462E6054A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00175511,5,171774,150,13,81,16,7,5,3,171774,7,5,8,1,2,1,2,54.0,8.66666666666667,4.66666666666667,2.0,-0.650951233,52.0165596,0106000020E6100000010000000103000000010000000A000000112273FF34D3E4BF0FE029864D024A40DEB0187F4BC8E4BF3193E63FF5014A4042D76C6BC8CCE4BFACAF005DF1014A40A083005420CEE4BF36D29879FF014A404A35712674D2E4BF51FCCA04FC014A40B4036099B6D3E4BF1E6667B204024A40C0203998ECDDE4BF81EA86A020024A40BCBF98BF96E2E4BFAFF588A829024A409906988AE9D7E4BFA6C08B5351024A40112273FF34D3E4BF0FE029864D024A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00084376,8,171864,232,32,91,23,11,9,29,171864,10,12,7,2,1,3,4,39.2241379310345,13.7931034482759,4.74137931034483,12.5,-0.769101405,52.04509997,0106000020E6100000010000000103000000010000001000000023E7FF54F19EE8BF145147D1FA054A40A80280D9749BE8BF5276FDA3EB054A407C8DA20B368CE8BF03B81E65C0054A403D72D36DFF8DE8BFC8C5C669B0054A405C16CBBAE494E8BFCA7C9F38BE054A409A5DDC85729CE8BF372532DDB6054A400606E8D19B9CE8BFE3CDCB7CA6054A408E920A8BE993E8BF13E280E5A1054A40D636FC35DA9EE8BFA48916D98E054A4082906E31ED9EE8BF31F99A258F054A4041415517AFA8E8BFF2E0200FBD054A40A4212BD0D2AEE8BF6C1AC7D3D2054A40025E19D185A7E8BF93B0D471EC054A401CD7693323B3E8BFE24AA51AE2054A405175D2D3D4AAE8BFE842683EF3054A4023E7FF54F19EE8BF145147D1FA054A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families
E00084377,7,171865,228,32,121,18,16,7,11,171865,9,6,1,4,2,1,6,53.07017543859649,14.035087719298199,7.017543859649121,4.82456140350877,-0.771539605,52.04342929999999,0106000020E6100000010000000103000000010000000700000041415517AFA8E8BFF2E0200FBD054A4082906E31ED9EE8BF31F99A258F054A40B8AE8A0524B9E8BFF74B56186C054A4009607E842DC2E8BF696DD24489054A4083EE81399EBBE8BFD68BD5559B054A407E51D1761EB9E8BFD1B36A46C6054A4041415517AFA8E8BFF2E0200FBD054A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00084374,10,171866,254,30,133,21,16,12,16,171866,7,6,3,8,2,2,4,52.3622047244094,11.8110236220472,6.2992125984252,6.2992125984252,-0.772512687,52.04197349,0106000020E610000001000000010300000001000000180000009FFEA6BC8BEDE8BFF7CD682BE9054A402B716D3A79E6E8BFB55713C2B1054A4032F6B4429BEAE8BF18F0D2269C054A404F057AF2C6E2E8BF8336E79D9D054A406F3DB1E099D7E8BFF557749269054A406D9B4960D0CEE8BF37604E4063054A4030A602BD2AC7E8BF38283B516F054A403F98D7A53DBFE8BF28042B2D57054A40B8AE8A0524B9E8BFF74B56186C054A4082906E31ED9EE8BF31F99A258F054A40D636FC35DA9EE8BFA48916D98E054A40A39DA73337A4E8BFA65C376980054A4059B05C519299E8BFF48E334B65054A402F01007264BBE8BFA390F51B33054A4020BC491450EEE8BFE6CA450CF5044A40111F84A0B505E9BF865441B9C8044A40763593F0AC33E9BFC902FA7445054A4086EB8A3B8A33E9BFD69243CB45054A408D5F6E603912E9BFBB6B99368D054A40C3F3F6CEEF10E9BF52533C089E054A40E3CC4F48B80EE9BFE121CD4796054A40BDEE957560F3E8BF6213EF41DB054A40C95CA7AD01F2E8BFF272D72AE3054A409FFEA6BC8BEDE8BFF7CD682BE9054A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00084375,9,171867,256,42,130,26,5,6,22,171867,8,4,4,0,2,0,2,50.78125,16.40625,1.953125,8.59375,-0.7852579609999999,52.04442753,0106000020E6100000010000000103000000010000000B0000009404FE3C1C13E9BF0617371DCA054A402E066AA9DC16E9BF1408B941AE054A40C3F3F6CEEF10E9BF52533C089E054A408D5F6E603912E9BFBB6B99368D054A4086EB8A3B8A33E9BFD69243CB45054A408ADBD6975D23E9BF3AAF42526B054A4031224C53233CE9BF65A601EBB5054A40583583438C30E9BFD0A0ECE4D0054A40E6F52682F823E9BFF2A4A2CFC0054A40571A174D8415E9BFD39A0F5ADC054A409404FE3C1C13E9BF0617371DCA054A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00084372,4,171868,195,22,101,16,3,6,29,171868,9,4,1,3,0,1,0,51.794871794871796,11.2820512820513,1.53846153846154,14.8717948717949,-0.787058659,52.04594512,0106000020E6100000010000000103000000010000000C000000FBE152B34A2CE9BF4DF4C812F6054A404E272C511C2AE9BF3253FDF3D8054A404BDADDB01314E9BF1A9F6570E7054A40571A174D8415E9BFD39A0F5ADC054A40E6F52682F823E9BFF2A4A2CFC0054A40583583438C30E9BFD0A0ECE4D0054A4031224C53233CE9BF65A601EBB5054A402013972BC73DE9BFA5C0AF15BB054A404F8A8408BD3AE9BFDEFBC780D4054A403141F0D80F3FE9BFAADBBA8CE8054A404E224291B72DE9BF23EB18A803064A40FBE152B34A2CE9BF4DF4C812F6054A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00084373,12,171869,269,31,110,32,15,7,37,171869,9,7,9,3,2,1,6,40.892193308550205,11.524163568773199,5.57620817843866,13.7546468401487,-0.773930253,52.04468211,0106000020E6100000010000000103000000010000000F000000C04A00F419AFE8BF03061F3802064A405175D2D3D4AAE8BFE842683EF3054A401CD7693323B3E8BFE24AA51AE2054A40025E19D185A7E8BF93B0D471EC054A40A4212BD0D2AEE8BF6C1AC7D3D2054A4041415517AFA8E8BFF2E0200FBD054A407E51D1761EB9E8BFD1B36A46C6054A4083EE81399EBBE8BFD68BD5559B054A40AFAA7452FEC0E8BFB20F0239A5054A40E3C1D1D448CCE8BF0A8EFDDC91054A4037C3D9CA26D2E8BF0A3C285AA3054A400E10B637F2D8E8BF15194F3DBB054A4010A690A268BCE8BF5B8C601003064A4013661839C2B3E8BFE6D9713312064A40C04A00F419AFE8BF03061F3802064A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00084370,11,171872,227,24,119,21,9,4,25,171872,5,6,3,3,5,2,3,52.422907488986795,10.572687224669599,3.9647577092510997,11.0132158590308,-0.7826156940000001,52.04596659,0106000020E6100000010000000103000000010000000E0000004EBF250C790DE9BFFA37F4E10F064A4092B83FA7FB08E9BF98770B9100064A405BED0AE0BB0DE9BFD2F919F4F0054A402246D1BBC804E9BFD517A0DFFB054A4065E15527D2FFE8BF7E48DEC6E4054A40BDEE957560F3E8BF6213EF41DB054A40E3CC4F48B80EE9BFE121CD4796054A40C3F3F6CEEF10E9BF52533C089E054A402E066AA9DC16E9BF1408B941AE054A409404FE3C1C13E9BF0617371DCA054A40571A174D8415E9BFD39A0F5ADC054A404BDADDB01314E9BF1A9F6570E7054A40B154503AE11CE9BFFDD0652502064A404EBF250C790DE9BFFA37F4E10F064A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00084371,17,171873,348,35,165,26,30,20,17,171873,17,11,10,17,4,5,11,47.4137931034483,10.0574712643678,8.62068965517241,4.88505747126437,-0.766295361,52.04548286,0106000020E6100000010000000103000000010000000E000000D3DB0933C07BE8BFA7BB992A01064A40AE01D272BC7BE8BF64B82F0101064A407C2FD0C1BD6FE8BFB343F790AD054A40DF450E9E725DE8BFB408F0E0CC054A4079B320438C79E8BFA3D9D1859C054A40FF4D3AA44684E8BFE0CE3D2F8A054A4028C31F122288E8BF892ECFA6B4054A400DDC3FF4547EE8BF996FC654C6054A40F380E889C280E8BF489882BAD3054A407C8DA20B368CE8BF03B81E65C0054A40A80280D9749BE8BF5276FDA3EB054A403D5574342F8DE8BFEDE3BCEC06064A4016587BD78387E8BFE15C3791EC054A40D3DB0933C07BE8BFA7BB992A01064A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a2,Social Renting New Arrivals
E00084378,17,171878,254,31,113,19,11,7,17,171878,18,14,7,2,2,0,7,44.4881889763779,12.2047244094488,4.33070866141732,6.69291338582677,-0.767588523,52.04414645,0106000020E6100000010000000103000000010000000E0000000DDC3FF4547EE8BF996FC654C6054A4028C31F122288E8BF892ECFA6B4054A40FF4D3AA44684E8BFE0CE3D2F8A054A4059B05C519299E8BFF48E334B65054A40A39DA73337A4E8BFA65C376980054A40D636FC35DA9EE8BFA48916D98E054A408E920A8BE993E8BF13E280E5A1054A400606E8D19B9CE8BFE3CDCB7CA6054A409A5DDC85729CE8BF372532DDB6054A405C16CBBAE494E8BFCA7C9F38BE054A403D72D36DFF8DE8BFC8C5C669B0054A407C8DA20B368CE8BF03B81E65C0054A40F380E889C280E8BF489882BAD3054A400DDC3FF4547EE8BF996FC654C6054A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families
E00084379,9,171879,229,32,109,10,14,10,22,171879,10,7,6,2,2,1,9,47.59825327510921,13.9737991266376,6.11353711790393,9.60698689956332,-0.7747720359999999,52.04328195,0106000020E6100000010000000103000000010000001000000037C3D9CA26D2E8BF0A3C285AA3054A40E3C1D1D448CCE8BF0A8EFDDC91054A40AFAA7452FEC0E8BFB20F0239A5054A4083EE81399EBBE8BFD68BD5559B054A4009607E842DC2E8BF696DD24489054A40B8AE8A0524B9E8BFF74B56186C054A403F98D7A53DBFE8BF28042B2D57054A4030A602BD2AC7E8BF38283B516F054A406D9B4960D0CEE8BF37604E4063054A406F3DB1E099D7E8BFF557749269054A404F057AF2C6E2E8BF8336E79D9D054A4032F6B4429BEAE8BF18F0D2269C054A402B716D3A79E6E8BFB55713C2B1054A40DA8570E113DEE8BFF9BF0138BD054A4091720A7A85D9E8BF11368FFAA0054A4037C3D9CA26D2E8BF0A3C285AA3054A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4c,Asian Traits,4c3,Inner City Ethnic Mix
E00175423,16,171909,204,30,99,15,12,7,5,171909,12,6,2,3,1,2,5,48.5294117647059,14.705882352941199,5.882352941176469,2.45098039215686,-0.710674417,52.03564393,0106000020E610000001000000010300000001000000090000003F694077D7AFE6BF73521877A8044A402DD755915AB9E6BF64824872A8044A406E50E7B1C2B8E6BFD5BF4C4F75044A409B95B70609BEE6BF9ECB849D67044A4001461E0BC0C1E6BFC363130F75044A40B58B7F5A5AC7E6BF685A168889044A402B452051C7C4E6BF5FE4B116A3044A40F509117153B1E6BF92687E63B8044A403F694077D7AFE6BF73521877A8044A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families
